カード名,型番,画像ファイル名,フレーバー
奇石 ウラナー,DMRP06 35/93,224_028_01_奇石 ウラナー.jpg,煌龍が絶十に与えし力、その名もサバキZ。それは紋章をエネルギーに、いつ如何なる時でも正義の執行を可能とする、新たなる裁きの力。
貝獣 イカリヤ,DMRP06 37/93,224_030_01_貝獣 イカリヤ.jpg,刃、みがけよ！ — 貝獣 イカリヤ
貝獣 カイバシラ/コバシーラ・ポコポーコ,DMRP06 39/93,224_032_01_貝獣 カイバシラ_コバシーラ・ポコポーコ.jpg,コバシーラエキスで、アナタも生まれたての女神肌に！
堕魔 グリール,DMRP06 42/93,224_035_01_堕魔 グリール.jpg,決まった姿を持たないドルスザクは、新たな門を開くたびに姿を変え、その力を増す。
マッ★カーツ/魔渇弓・冥,DMRP06 45/93,224_038_01_マッ★カーツ_魔渇弓・冥.jpg,ムーゲッツは蘇る。無月の門が開くたびに。
暴走 ザクルマ/「緊急発進だ!!」,DMRP06 48/93,224_041_01_暴走 ザクルマ_「緊急発進だ!!」.jpg,スピード全開!!
ドンパッチおじさん,DMRP06 49/93,224_042_01_ドンパッチおじさん.jpg,花火だ！ 花火だ！ 花火だ！ 花火だ！ 花火だ！ 花火だぁぁぁあああ!!! — ドンパッチおじさん
轟車 “Ｇ-突”,DMRP06 50/93,224_043_01_轟車 “Ｇ-突”.jpg,限界ギリギリまで自分を追い詰めることで力を爆発させる捨て身の新技！ それがゴゴゴ・ガンガン・ギャラクシーだ！
アカシシーマ/レッド・アグラフ,DMRP06 54/93,224_047_01_アカシシーマ_レッド・アグラフ.jpg,ジョーカーズと自然の小競り合いは、マスター同士の戦いに発展した。
ツクっちょ,DMRP06 55/93,224_048_01_ツクっちょ.jpg,最も優しきガイアハザード、ナゾまる。通った後には、ツクっちょが生える。
憤怒スル破面ノ裁キ,DMRP06 65/93,224_050_01_憤怒スル破面ノ裁キ.jpg,憤怒スル破面ノ裁キ。仮面ガ割レシ時、新タナ煌メク裁キノ「力」ヲ産ム。
赤攻銀 マブルーク,DMRP06 34/93,225_002_01_赤攻銀 マブルーク.jpg,煌龍が目覚めつつある新たな裁きの力。それを完全に使いこなす為には、天空城に代々伝わる伝説の剣が必要となる。
The ソー漢,DMRP06 57/93,225_003_01_The ソー漢.jpg,誰が一番アツいかを競い合うThe ラー漢たちを尻目に、The ソー漢は一言つぶやいた。 「……冷たい麺の良さがわからぬとは、まだまだだな」
雷撃の伝道師ソー,DMRP06 58/93,225_004_01_雷撃の伝道師ソー.jpg,世の中には「ソー」の名前を持つ者がソーれは沢山いるソーだ。いっソーのこと、誰が一番かバトルロイヤルで決めたら、ソーとー面白いのではないか？ 貴殿もソー思わぬか？ — 雷撃の伝道師ソー
安息の喜び 慈拓,DMRP06 59/93,225_005_01_安息の喜び 慈拓.jpg,自宅の洞窟に引き籠っている慈拓は、精鋭部隊に任命される日を今日も待ち続けている。
青守銀 ノチェス,DMRP06 62/93,225_008_01_青守銀 ノチェス.jpg,あの「終焉」を簡単に撃退するなんて、絶十様は煌龍様からどれだけの力を与えられたのさ。 — 青守銀 ノチェス
緑知銀 ターシェ,DMRP06 63/93,225_009_01_緑知銀 ターシェ.jpg,マスター様を差し置いて、デュエル・ウォーリアを討伐している者がいるという。本当の話なら捨てておけぬな。 — 緑知銀 ターシェ
クイック・スパーク,DMRP06 64/93,225_010_01_クイック・スパーク.jpg,光の天空城には、代々伝わる伝説の剣があるという。しかし今、その行方は分からなくなっている。
サイバー・Ｌ・グランド,DMRP06 66/93,225_011_01_サイバー・Ｌ・グランド.jpg,調査の結果、海底より見つかったいくつかの遺物が、闇に汚染されつつあることが判明した。
偏執なる蓄財　メギロン,DMRP06 68/93,225_013_01_偏執なる蓄財　メギロン.jpg,今年のトレンドは透明マスクで決まり♪ お宝コーデで金運もアップだロン♪ — 偏執なる蓄財 メギロン
スプ・モーニ,DMRP06 69/93,225_014_01_スプ・モーニ.jpg,六奇怪の調査団が消息を絶つ時、実は「六奇怪」とは、別の大きな存在が水文明を侵食するために起こしている事件だと知った。同じ頃、大量の魔力を持ったブレインが超宮城に運び込まれる……いよいよ、水文明の影が明らかになる。
歩く賄賂 コバンザ,DMRP06 70/93,225_015_01_歩く賄賂 コバンザ.jpg,満点を取りながら無記名で不合格になった者がいる一方、白紙でも賄賂で合格したクセにブツクサ文句を言う者もいる。
エターナル・ブレイン,DMRP06 71/93,225_016_01_エターナル・ブレイン.jpg,水文明の研究者集団ブルーメイソンは、改革を起こす為の協力を求め、超宮城に遣宮士を送った。
時を戻す水時計,DMRP06 72/93,225_017_01_時を戻す水時計.jpg,超宮城とは、魔力を貯め願いをかなえる不思議なサンゴを守る要塞にしてリゾート施設。そこに、大量の魔力を持つブレインが運び込まれた。
堕魔 ヴァイプシュ,DMRP06 73/93,225_018_01_堕魔 ヴァイプシュ.jpg,闇のマスターは、他文明を浸食する黒き流星を落とす。空き缶を捨てるかのような気軽さで。
堕魔 ヴォビンゴ,DMRP06 74/93,225_019_01_堕魔 ヴォビンゴ.jpg,卍月 ガ・リュザーク 卍の必殺技！それは、生ある者を闇へと堕とし、命の髄まで殺し尽くす！ これぞ、卍・獄・殺!!
カニ★ニカ,DMRP06 75/93,225_020_01_カニ★ニカ.jpg,ドルスザクから生まれし闇の炎の欠片。それはムーゲッツと呼ばれた。
凶鬼53号 グルーグ,DMRP06 76/93,225_021_01_凶鬼53号 グルーグ.jpg,オウ禍武斗にリベンジする為にブランドが得た新技。それを最初に喰らったのは、闇のムカデだった。
封魔レラージェス,DMRP06 77/93,225_022_01_封魔レラージェス.jpg,冥王ゲルグ、戒王ガデス、蝕王ダンタル、絶王ゼル、怨王ザーガ、塵王ヴァガン、そしてその名を呼ぶ事さえ許されぬ最後の王……ついに揃った七王を、卍月 ガ・リュザーク 卍はその炎によって一瞬で焼き尽くした。
堕魔 グリナイブ,DMRP06 78/93,225_023_01_堕魔 グリナイブ.jpg,無月の門・絶から現れた卍 デ・スザーク 卍は新たな炎の姿をしていた。影の者たちは伝説の卍月をその姿に見た。
スキャット・ハンド,DMRP06 79/93,225_024_01_スキャット・ハンド.jpg,「「「「ウィーアー、スキャット・ニャーン!!!!」」」」
ポリスワン,DMRP06 80/93,225_025_01_ポリスワン.jpg,激録・ポリスワン密着24時！ ポリスワンの朝は、怪しい動きをするカメライフを追いかけることから始まる！
八艘剣士ヨシツネ,DMRP06 82/93,225_027_01_八艘剣士ヨシツネ.jpg,“轟轟轟”ブランドとキングダム・オウ禍武斗のリベンジマッチ！ お互いの力と力が激突する壮絶な戦いは、ジョーカーズの乱入で一時中断となった。
“Ｋ-殴”ララッタ,DMRP06 83/93,225_028_01_“Ｋ-殴”ララッタ.jpg,え!? 仲間が遺したメッセージ「Ｄ・Ｍ」の意味が分かったんスか!? — “Ｋ-殴”ララッタ
“Ｅ-闘”ララッタ,DMRP06 84/93,225_029_01_“Ｅ-闘”ララッタ.jpg,ゴゴゴ・ロケットの開発を手伝う為、手先の器用なチュリス達がブランドの元を訪れた。彼らは、お互いをララッタと愛称で呼んだ。
ミサイル“Ｊ-飛”,DMRP06 85/93,225_030_01_ミサイル“Ｊ-飛”.jpg,ミサイル“J-飛”は、本当は自分もロケットと名乗りたかったのだが、“轟轟轟”ブランドのゴゴゴ・ロケットを見て敵わないとあきらめたのだった。
ゴゴゴ・Go1・ナックル,DMRP06 86/93,225_031_01_ゴゴゴ・Go1・ナックル.jpg,誰も手をつけられない火文明の最新兵器、ゴゴゴ・ロケット！その力を使って“罰怒”ブランドは“轟轟轟”ブランドとなったのだ！
ベベキャベツ,DMRP06 87/93,225_032_01_ベベキャベツ.jpg,最も猛きガイアハザード、キングダム・オウ禍武斗。自然の平和と摂理を守る為、ジョラゴンとの命をかけた本気のバトルが始まった。
たぴおかぴ,DMRP06 88/93,225_033_01_たぴおかぴ.jpg,闇マスターに敗れたナゾまる。しかし、その体から発せられた不思議な光が、闇の炎を退けた。
ウイングアイ・マック,DMRP06 89/93,225_034_01_ウイングアイ・マック.jpg,最も誇り高きハチのガイアハザード。その貴き忠義で、病の女王を守る。
夜更かしメイ様,DMRP06 90/93,225_035_01_夜更かしメイ様.jpg,対話を求め、自ら黒い流星に触れたナゾまる。その体は、夜の如き闇に包まれ、闇の支配者達が待ち受ける戦場へと飛ばされた。その日もメイ様は夜更かしをしていた。
ムオーム,DMRP06 91/93,225_036_01_ムオーム.jpg,ジョーカーズのマスターは虫を採ったり、有害な煙を焚いた。そのことが、ジョーカーズと自然文明との間に、大きな争いを生むきっかけとなった。
ラクオクラ,DMRP06 92/93,225_037_01_ラクオクラ.jpg,オウ禍武斗様の破天九語、あんなJ印のフザケタ盾で防げるかクラァッ！ — ラクオクラ
デンジャラス・トラップ,DMRP06 93/93,225_038_01_デンジャラス・トラップ.jpg,最も策士なカタツムリのガイアハザード。そのでんでん印の罠にハマったら、諦めるしかない。
卍 デ・ルパンサー 卍 / 葬爪,DMSD06 1/15,225_044_01_卍 デ・ルパンサー 卍 _ 葬爪.jpg,新たなドルスザクが、門より降臨す。
デビル・ハンド,DMSD06 9/15,225_046_01_デビル・ハンド.jpg,S・トリガーで逆転チャンス。どんな切り札だろうと、悪魔の手からは逃げられない。
地獄門デス・ゲート,DMSD06 10/15,225_047_01_地獄門デス・ゲート.jpg,敵の破壊と味方の復活を同時にこなす便利カード！ S・トリガーで発動すれば、大逆転への道が開かれる！
堕魔 ヴァイシング,DMSD06 11/15,225_049_01_堕魔 ヴァイシング.jpg,デビル・ハンドやグリギャンで墓地に置いた魔導具を、コイツでバトルゾーンへ！
マイケル・ギャンドル,DMSD06 12/15,225_050_01_マイケル・ギャンドル.jpg,手札はコイツで補充！ 無月の門で召喚したクリーチャーが破壊されれば、一気に４枚も引けるぞ！
堕魔 ドゥシーザ,DMSD06 13/15,226_001_01_堕魔 ドゥシーザ.jpg,卍 デ・ルパンサー 卍はツインパクトカード！ まずは呪文として使って墓地に送り、無月の門を開いて復活させろ！
堕魔 グリギャン,DMSD06 14/15,226_002_01_堕魔 グリギャン.jpg,まずは墓地を増やしまくるのが闇文明の戦いのコツだ！
堕魔 ドゥグラス,DMSD06 15/15,226_003_01_堕魔 ドゥグラス.jpg,S・トリガーで呼び出せば、相手のターンでも無月の門は開かれる！
堕魔 ヴォシンバ,DMSD06 4/15,226_004_01_堕魔 ヴォシンバ.jpg,敵を除去しながら墓地に魔導具を送り込み、無月の門へ備えよう。
テン★カッツ,DMSD06 5/15,226_005_01_テン★カッツ.jpg,無月の門が開かれし時、墓地より舞い下りるしもべ、それがムーゲッツ！ 門を開く前に墓地に大量に送り込んでおこう！
堕魔 ドゥンブレ,DMSD06 6/15,226_006_01_堕魔 ドゥンブレ.jpg,無月の門・絶より、絶望の魔凰が今、あらわれようとしている。
堕魔 ドゥスン,DMSD06 7/15,226_007_01_堕魔 ドゥスン.jpg,相手の呪文を重くするドゥスンで、序盤の呪文を徹底的にシャットアウト！
堕魔 ドゥザイコ,DMSD06 8/15,226_008_01_堕魔 ドゥザイコ.jpg,魔導具を呼び出した時、場と墓地に魔導具が２体ずつ揃っていればチャンス！ 無月の門を開いて卍 デ・ルパンサー 卍を召喚だ！ 墓地のムーゲッツ達も一気に戻ってくるぞ！
